% time     seconds  usecs/call     calls      function
------ ----------- ----------- --------- --------------------
100.00  921.352902   460676451         2 _ZNSt6thread4joinEv
  0.00    0.006774         677        10 __errno_location
  0.00    0.005357         446        12 _Znwm
  0.00    0.000896         448         2 _ZNSt6thread15_M_start_threadESt10unique_ptrINS_6_StateESt14default_deleteIS1_EEPFvvE
  0.00    0.000642          64        10 _ZdlPvm
  0.00    0.000303          75         4 strlen
  0.00    0.000279          69         4 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEED1Ev
  0.00    0.000275          91         3 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE13_M_local_dataEv
  0.00    0.000229          76         3 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE12_Alloc_hiderC1EPcRKS3_
  0.00    0.000229          76         3 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE13_M_set_lengthEm
  0.00    0.000227          75         3 _ZNKSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE7_M_dataEv
  0.00    0.000226          75         3 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE13_S_copy_charsEPcPKcS7_
  0.00    0.000148          74         2 _ZNKSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE5c_strEv
  0.00    0.000140          70         2 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEC1ERKS4_
  0.00    0.000082          82         1 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE17_S_to_string_viewESt17basic_string_viewIcS2_E
  0.00    0.000081          81         1 _ZNSt10filesystem7__cxx114path5_ListC1Ev
  0.00    0.000079          79         1 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEEC1ENS4_12__sv_wrapperERKS3_
  0.00    0.000078          78         1 _ZNSt10filesystem7__cxx114path14_M_split_cmptsEv
  0.00    0.000076          76         1 _ZNSt7__cxx1112basic_stringIcSt11char_traitsIcESaIcEE12__sv_wrapperC1ESt17basic_string_viewIcS2_E
  0.00    0.000072          72         1 _ZNSt10filesystem7__cxx114path5_ListC1ERKS2_
  0.00    0.000060          60         1 _ZNKSt10filesystem7__cxx114path5_List13_Impl_deleterclEPNS2_5_ImplE
------ ----------- ----------- --------- --------------------
100.00  921.369155                    70 total
